,YEAR,MO,DY,HR,WS50M,ALLSKY_SFC_SW_DWN,T2M,Season,Load,Price
201,2022,6,10,9,2.44,398.06,22.08,Summer,1881,0.15
202,2022,6,10,10,2.68,384.75,23.27,Summer,1869,0.2
203,2022,6,10,11,1.96,384.24,24.18,Summer,2052,0.2
204,2022,6,10,12,0.96,318.48,24.64,Summer,1884,0.2
205,2022,6,10,13,1.67,222.43,24.83,Summer,1875,0.2
206,2022,6,10,14,2.1,171.65,24.83,Summer,1887,0.2
207,2022,6,10,15,2.89,112.14,24.33,Summer,1887,0.15
208,2022,6,10,16,3.58,88.62,23.51,Summer,1881,0.15
209,2022,6,10,17,3.92,45.87,22.45,Summer,1771,0.15
210,2022,6,10,18,4.08,13.41,20.98,Summer,1856,0.2
211,2022,6,10,19,3.88,0.0,20.04,Summer,1866,0.2
212,2022,6,10,20,4.13,0.0,19.48,Summer,1694,0.2
213,2022,6,10,21,5.22,0.0,18.99,Summer,1559,0.15
214,2022,6,10,22,6.02,0.0,18.47,Summer,1479,0.15
215,2022,6,10,23,6.01,0.0,17.85,Summer,1384,0.05
216,2022,6,11,0,5.65,0.0,17.53,Summer,1109,0.05
217,2022,6,11,1,5.28,0.0,17.3,Summer,1170,0.05
218,2022,6,11,2,5.25,0.0,17.03,Summer,1164,0.05
219,2022,6,11,3,5.42,0.0,16.64,Summer,1139,0.05
220,2022,6,11,4,5.23,15.32,16.72,Summer,1136,0.05
221,2022,6,11,5,4.13,95.94,18.36,Summer,1167,0.05
222,2022,6,11,6,2.77,215.0,19.3,Summer,1173,0.05
223,2022,6,11,7,2.78,372.43,21.32,Summer,1449,0.15
224,2022,6,11,8,4.26,542.33,22.58,Summer,1798,0.15
225,2022,6,11,9,5.57,669.49,23.58,Summer,1881,0.15
226,2022,6,11,10,5.85,768.52,24.48,Summer,1869,0.2
227,2022,6,11,11,5.74,950.02,25.33,Summer,2052,0.2
228,2022,6,11,12,5.14,876.56,25.98,Summer,1884,0.2
229,2022,6,11,13,4.21,811.07,26.58,Summer,1875,0.2
230,2022,6,11,14,3.41,676.12,27.01,Summer,1887,0.2
231,2022,6,11,15,2.95,519.77,27.17,Summer,1887,0.15
232,2022,6,11,16,2.97,328.88,27.1,Summer,1881,0.15
233,2022,6,11,17,3.63,145.66,26.12,Summer,1771,0.15
234,2022,6,11,18,5.21,23.81,23.35,Summer,1856,0.2
235,2022,6,11,19,7.46,0.0,21.58,Summer,1866,0.2
236,2022,6,11,20,8.98,0.0,20.56,Summer,1694,0.2
237,2022,6,11,21,9.15,0.0,19.37,Summer,1559,0.15
238,2022,6,11,22,8.42,0.0,18.54,Summer,1479,0.15
239,2022,6,11,23,7.5,0.0,17.95,Summer,1384,0.05
240,2022,6,12,0,6.74,0.0,17.4,Summer,1109,0.05
241,2022,6,12,1,6.23,0.0,16.86,Summer,1170,0.05
242,2022,6,12,2,6.0,0.0,16.35,Summer,1164,0.05
243,2022,6,12,3,6.11,0.0,15.91,Summer,1139,0.05
244,2022,6,12,4,5.91,12.62,15.82,Summer,1136,0.05
245,2022,6,12,5,5.42,98.26,17.17,Summer,1167,0.05
246,2022,6,12,6,5.1,264.75,18.93,Summer,1173,0.05
247,2022,6,12,7,4.82,428.75,21.12,Summer,1449,0.15
248,2022,6,12,8,4.27,603.18,22.89,Summer,1798,0.15
249,2022,6,12,9,3.8,734.22,24.21,Summer,1881,0.15
250,2022,6,12,10,3.22,686.92,25.34,Summer,1869,0.2
251,2022,6,12,11,2.66,774.4,26.3,Summer,2052,0.2
252,2022,6,12,12,2.27,666.88,26.84,Summer,1884,0.2
253,2022,6,12,13,1.89,671.38,27.0,Summer,1875,0.2
254,2022,6,12,14,1.83,530.48,26.84,Summer,1887,0.2
255,2022,6,12,15,2.67,319.45,26.16,Summer,1887,0.15
256,2022,6,12,16,3.86,188.93,25.09,Summer,1881,0.15
257,2022,6,12,17,4.88,88.46,23.09,Summer,1771,0.15
258,2022,6,12,18,5.52,16.62,21.05,Summer,1856,0.2
259,2022,6,12,19,4.64,0.0,20.07,Summer,1866,0.2
260,2022,6,12,20,3.21,0.0,19.58,Summer,1694,0.2
261,2022,6,12,21,1.96,0.0,19.31,Summer,1559,0.15
262,2022,6,12,22,2.57,0.0,18.98,Summer,1479,0.15
263,2022,6,12,23,4.08,0.0,18.8,Summer,1384,0.05
264,2022,6,13,0,5.08,0.0,18.73,Summer,1109,0.05
265,2022,6,13,1,5.33,0.0,18.6,Summer,1170,0.05
266,2022,6,13,2,5.77,0.0,18.4,Summer,1164,0.05
267,2022,6,13,3,6.16,0.0,18.19,Summer,1139,0.05
268,2022,6,13,4,6.26,12.73,18.09,Summer,1136,0.05
269,2022,6,13,5,5.82,76.81,18.69,Summer,1167,0.05
270,2022,6,13,6,6.1,193.58,19.56,Summer,1173,0.05
271,2022,6,13,7,6.51,320.52,20.49,Summer,1449,0.15
272,2022,6,13,8,6.27,448.98,21.26,Summer,1798,0.15
273,2022,6,13,9,5.7,612.68,22.0,Summer,1881,0.15
274,2022,6,13,10,4.92,583.05,22.94,Summer,1869,0.2
275,2022,6,13,11,3.95,600.43,24.02,Summer,2052,0.2
276,2022,6,13,12,3.34,593.78,25.15,Summer,1884,0.2
277,2022,6,13,13,3.39,463.46,25.51,Summer,1875,0.2
278,2022,6,13,14,3.86,420.59,25.55,Summer,1887,0.2
279,2022,6,13,15,4.36,312.01,25.15,Summer,1887,0.15
280,2022,6,13,16,5.48,211.15,24.43,Summer,1881,0.15
281,2022,6,13,17,7.14,86.73,23.34,Summer,1771,0.15
282,2022,6,13,18,8.15,19.94,21.05,Summer,1856,0.2
283,2022,6,13,19,8.57,0.0,19.29,Summer,1866,0.2
284,2022,6,13,20,8.76,0.0,18.37,Summer,1694,0.2
285,2022,6,13,21,8.77,0.0,17.57,Summer,1559,0.15
286,2022,6,13,22,8.58,0.0,16.95,Summer,1479,0.15
287,2022,6,13,23,8.45,0.0,16.59,Summer,1384,0.05
288,2022,6,14,0,8.47,0.0,16.42,Summer,1109,0.05
289,2022,6,14,1,8.41,0.0,16.13,Summer,1170,0.05
290,2022,6,14,2,8.33,0.0,15.78,Summer,1164,0.05
291,2022,6,14,3,8.34,0.0,15.47,Summer,1139,0.05
292,2022,6,14,4,8.4,17.73,15.43,Summer,1136,0.05
293,2022,6,14,5,8.05,110.1,16.6,Summer,1167,0.05
294,2022,6,14,6,10.13,270.94,18.44,Summer,1173,0.05
295,2022,6,14,7,10.46,444.01,20.06,Summer,1449,0.15
296,2022,6,14,8,10.34,606.32,21.43,Summer,1798,0.15
297,2022,6,14,9,10.54,722.61,22.57,Summer,1881,0.15
298,2022,6,14,10,10.64,792.55,23.44,Summer,1869,0.2
299,2022,6,14,11,9.99,866.09,24.1,Summer,2052,0.2
300,2022,6,14,12,9.02,403.55,24.37,Summer,1884,0.2
301,2022,6,14,13,7.98,284.94,24.34,Summer,1875,0.2
302,2022,6,14,14,7.27,166.37,23.9,Summer,1887,0.2
303,2022,6,14,15,7.09,115.27,23.22,Summer,1887,0.15
304,2022,6,14,16,7.42,90.4,22.24,Summer,1881,0.15
